Username,User Age,User Skin Condition,Recommendation Status,Usage Period,Purchase Point,Product Brand,Product Name,Product Rating,Total Users Rated,User Review
larastika16, 19 - 24,"Oily, Medium, Warm",larastika16 recommends this product!,1 week - 1 month,Shopee,L'Indka,Acne Series Day Cream,5,28,"Salah satu day cream yang aku pakai akhir akhir ini, tekturnya cream biasa warna putih dengan sedikit aroma gitu..aku suka karna nggak bikin white case di wajah setelah pemakaian, kalau pakai makeup pakai base ini rasanya makeupku nempel bgt "
puspaayuu, 18 and Under,"Oily, Medium, Neutral",puspaayuu recommends this product!,1 week - 1 month,Shopee,Etude House,My Lash Serum,4.2,365,"gudd jobbb etude house, ini bagus banget manjangin bulmat dan menebalkan alis saya, pas di pake cepet meresapnya jd ga yg greasy gatal gitu di rambut, bener"" work di aku, btw gampang abis banget ya di saya krn sy sangat boros, perlu rajin"" pake ini jangan magera ... "
Asyivaniiklz, 19 - 24,"Combination, Light, Neutral",Asyivaniiklz recommends this product!,More than 1 year,FD Try and Review,Dove,White Beauty Bar,4.1,502,"sabun yang selalu gw pake dri jaman SD sampe sekrang wangginya yg gak pernh berubah dan lembut bgt terus harganya murah bgt dan gw yakin semua pernh pake sabun ini dan yabg pasti bisa buat muka ya tapi di pisah ,, dan emang bagus bgt buat kulit"
Asyivaniiklz, 19 - 24,"Combination, Light, Neutral",Asyivaniiklz recommends this product!,1 month - 3 months,FD Try and Review,SilkyGirl,parfum silkygirl,5,2,"parfumnya girly banget wangginya gak terlalu nyengat di hidung , walaupun gak tahan lama , but overall good ,, kemasannya yg mudah di bawaaa kemana mana dan gak ribet ,, parfumnya cewek bgt dan harganya terjangkau buat remaja kaya gw"
uswrtnh, 18 and Under,"Combination, Medium, Warm",uswrtnh recommends this product!,Less than 1 week,Shopee,AVOSKIN,Miraculous Refining Toner,4.4,2130,"omg produk ini bener2 bagus di kulit aku, awalnya aku kira bakal ga cocok ternyata aku sangat amat cocok dengan produk ini. sangat di rekomendasikan dengan kalian yg kondisi kulit wajah nya hampir sama kaya aku, selamat mencoba🥰"
puspaayuu, 18 and Under,"Oily, Medium, Neutral",puspaayuu recommends this product!,1 week - 1 month,Shopee,Teddy Clubs,Teddy Clubs Mask,4.3,18,"bagus siii, habis pake ini muka auto cerah, glowing, bersih, aduh masyaAllah deh ingredients aman juga, cuma yaa ini lebih ke treatment yang seminggu 3 kali aja udah cukup jangan setiap hari, btw aku ga repurchase krn aku anaknya males bgt yg harus campurin ini ke air d ... "
larastika16, 19 - 24,"Oily, Medium, Warm",larastika16 recommends this product!,1 week - 1 month,Shopee,L'Indka,Acne Series Face Wash ,5,29,"Ya ampun dari sekian banyak facial wash ini adalah kecintaan aku, packaging simpel, teksturnya gel bening daan pas dipakai ga banyak busanya jadi ga bikin kering kulit aku, berkat satu rangkaian ini juga jerawatku berkurang"
lina842, 19 - 24,"Combination, Medium Light, Warm",lina842 recommends this product!,6 months - 1 year,Alfamart,Viva Cosmetics,Milk Cleanser,4,3539,salah satu milk cleanser yang wajib dicoba sih ini. sebelum adanya micellar water pasti selalu pake ini dan lumayan banget untuk menghapus make up tapi untuk menghapus yang waterproof lumayan agak susah yah mau gimana lagi harganya ada murce jadi nggak bisa berharap leb ... 
Asyivaniiklz, 19 - 24,"Combination, Light, Neutral",Asyivaniiklz recommends this product!,More than 1 year,FD Try and Review,Tokyo Night,Nail Polish Remover Pink,4.2,352,"setiap kali gw mau pke kutek dan di hapus gak jauh"" produknya yg satu ini gak ribet nyarinya harganya murah bgt bagus baanget dan yg pasti kutek langsung ilang tanpaa sisa ,,, gak nyesel gw selalu pakai produk ini pokonya terbaik"
nadhirahns, 19 - 24,"Combination, Medium, Warm",nadhirahns recommends this product!,Less than 1 week,FD Try and Review,L'Oreal Paris,UV Defender Matte & Fresh,4.8,61,"Varian uv defender yang aku recommend banget buat orgorg yg gasuka sunscreen yang greasy! karena ada kandungan airlicium yang mampu menyerap kandungan minyak 7x lebih dari sunscreen biasanya. Aku suka packaging dari sunscreen l'orean ini, selain mewah dan kokoh, nozzle  ... "
puspaayuu, 18 and Under,"Oily, Medium, Neutral",puspaayuu recommends this product!,1 month - 3 months,Shopee,Larissa,Acne Lotion,4.5,61,"baguss dong wkwk, jujur dia lumayan calm jerawat yang mau tumbuh jadi ga numbuh, untuk beruntusan dia ga bantu samsek, tapi dia bantu banget yg jerawat mendem sama yg merah merah gitu, bagus sih, cuma aku ga repurchase krn emg gatau ya muka aku kalo sering aku pakein ac ... "
larastika16, 19 - 24,"Oily, Medium, Warm",larastika16 recommends this product!,1 week - 1 month,Shopee,L'Indka,Acne Series Day Cream,5,28,"Salah satu day cream yang aku pakai akhir akhir ini, tekturnya cream biasa warna putih dengan sedikit aroma gitu..aku suka karna nggak bikin white case di wajah setelah pemakaian, kalau pakai makeup pakai base ini rasanya makeupku nempel bgt "
Pipot, 30 - 34,"Oily, Medium Light, Neutral",Pipot recommends this product!,1 month - 3 months,Guardian,Avene,Lotion Micellaire Micellar Lotion,4,108,gak ada yang istimewa sih menurutku. ya seperti Micellar Water semestinya. cuman suka karena gak bikin BO. beli karena lagi diskon gede di guardian. efeknya seger muka kerasa lembab. untuk kulitku yg oily acne prone masih aman banget. heheh lumayan bisa cobain Micellar  ... 
Maylan,19 - 24,,Maylan recommends this product!,1 month - 3 months,Shopee,AVOSKIN,Your Skin Bae Serum,3.9,166,"Lagi hype kemarin dan review nya juga bagus bagus jadi tertarik buat beli dan ternyata hasilnya bener bener nampol.KandunganNiacinamide+Centelaasiticanya ngebantu banget di kulit aku yang banyak bekas jerawatnya, ngebantu juga buat nyerahin wajah❤"
uniimala, 30 - 34,"Combination, Medium Light, Neutral",uniimala recommends this product!,Less than 1 week,Female Daily Event,L'Oreal Paris,UV Defender Bright & Clear,4.9,747,"Wah jujur kaget pas pertama kali apply di wajah ternyata ada efek tone up nya, mungkin itu karena ada kandungan Niacinamide yang bisa mencerahkan dan menghidrasi kulit, jadi saranku saat apply sunscreen ini harus perlahan ya supaya hasilnya merata sempurna di kulit. Sel ... "
evmrclaa, 18 and Under,"Combination, Medium Light, Neutral",evmrclaa recommends this product!,1 week - 1 month,Shopee,Trueve ,BHA & CICA Acne Serum,4.9,911,"preloved baru dipake 2x .. bagus buat jerawat gede di akuu .. dijual karenaa mau fokusin buat bekas .. 130 K , pipet ga nempel ko aku pake nyaa sedikit bgtt .. (-) box , dom Sukabumi .. WA : 089520740092"
puspaayuu, 18 and Under,"Oily, Medium, Neutral",puspaayuu recommends this product!,3 months - 6 months,Shopee,Golden Viera,Beauty Soap,3.9,891,"masyaAllah bangett ini produk satuu, sayang bangett sama dia, cinta banget yaAllah, alhamdulillah banget nemu sabun ini, cocok banget di muka huhu, muka kelihatan lebih smooth, lebih cerah, lembab, ga gampang jerawatan, ngilangin beruntusan jugaa aduhh suka bangett, wan ... "
puspaayuu, 18 and Under,"Oily, Medium, Neutral",puspaayuu recommends this product!,1 week - 1 month,Shopee,Etude House,My Lash Serum,4.2,365,"gudd jobbb etude house, ini bagus banget manjangin bulmat dan menebalkan alis saya, pas di pake cepet meresapnya jd ga yg greasy gatal gitu di rambut, bener"" work di aku, btw gampang abis banget ya di saya krn sy sangat boros, perlu rajin"" pake ini jangan magera ... "
Asyivaniiklz, 19 - 24,"Combination, Light, Neutral",Asyivaniiklz recommends this product!,More than 1 year,FD Try and Review,Dove,White Beauty Bar,4.1,502,"sabun yang selalu gw pake dri jaman SD sampe sekrang wangginya yg gak pernh berubah dan lembut bgt terus harganya murah bgt dan gw yakin semua pernh pake sabun ini dan yabg pasti bisa buat muka ya tapi di pisah ,, dan emang bagus bgt buat kulit"
Asyivaniiklz, 19 - 24,"Combination, Light, Neutral",Asyivaniiklz recommends this product!,1 month - 3 months,FD Try and Review,SilkyGirl,parfum silkygirl,5,2,"parfumnya girly banget wangginya gak terlalu nyengat di hidung , walaupun gak tahan lama , but overall good ,, kemasannya yg mudah di bawaaa kemana mana dan gak ribet ,, parfumnya cewek bgt dan harganya terjangkau buat remaja kaya gw"
uswrtnh, 18 and Under,"Combination, Medium, Warm",uswrtnh recommends this product!,Less than 1 week,Shopee,AVOSKIN,Miraculous Refining Toner,4.4,2130,"omg produk ini bener2 bagus di kulit aku, awalnya aku kira bakal ga cocok ternyata aku sangat amat cocok dengan produk ini. sangat di rekomendasikan dengan kalian yg kondisi kulit wajah nya hampir sama kaya aku, selamat mencoba🥰"
viviseptiyan12, 30 - 34,"Oily, Medium Dark, Warm",viviseptiyan12 recommends this product!,1 week - 1 month,Instagram,Pratista,Retinol Renewal Serum,5,39,"pertama kalinya nyobain retinol. Dan wow, suka banget sama retinol serum pratista ini. Karna ini ringan banget buat pemula, dan hasilnya juga amazing, wajah aku jauh lebih cerah dan gak bikin kulit jadi kering walau di pakai setiap hari. Suka banget sama teksturnya yang ... "
puspitaoktorany, 30 - 34,"Combination, Medium, Neutral",puspitaoktorany recommends this product!,Less than 1 week,PR Package,L'Oreal Paris,UV Defender Correct & Protect,4.8,61,"Aku baru nemu sunscreen tipe correct & protect loh beneran. Dan ada kandungan vitamin CG nya ? Beneran hanya baru nemu di product ini. Vitamin CG merupakan antioksidan, untuk merawat kulit dari radikal bebas, dengan apricot pigment yang menyatu optimal dengan kulit. ... "
Rizkianadivi, 19 - 24,"Oily, Medium, Warm",Rizkianadivi recommends this product!,6 months - 1 year,Brand website,Emina,Moist in A Bottle Moisturizer,3.5,509,"aku pake ini udah dari lama, dan ke kulitku juga cocok banget, aku gapernah berpaling pake moisturizer manapun selain emina yang ini guys, ringan banget gaboong dan cocok buat semua jenis kulit, very2 recomended buat yang kulitnya sensitif hihii"
Pipot, 30 - 34,"Oily, Medium Light, Neutral",Pipot recommends this product!,1 week - 1 month,Instagram,La Roche-Posay,Effaclar AI,4.1,14,dulu pernah coba product ini. lumayan keliatan efeknya. efektifitasnya emang takes time ya.. 2-3 hari bisa calming jerawat aktif yang lagi merah2nya. efeknya di aku lebih ke ilang gitu aja.. kempes kempes trus ilang. mau repurchase kok agak mahal dengan pemakaian yang c ... 
Rizkianadivi, 19 - 24,"Oily, Medium, Warm",Rizkianadivi recommends this product!,1 week - 1 month,Instagram,NIVEA,Soft,3.9,1496,"Buat kulit dry ini cocok bgt karena lembabnya nampol bgt, dipakai nya gausah terlalu banyak karena jadi berminyak. So far aku pakai dia lumayan nyaman asalkan jgn terlalu banyak aja. Ada wanginya tipis dan ga mengganggu kok"
puspaayuu, 18 and Under,"Oily, Medium, Neutral",puspaayuu recommends this product!,1 week - 1 month,Shopee,Teddy Clubs,Teddy Clubs Mask,4.3,18,"bagus siii, habis pake ini muka auto cerah, glowing, bersih, aduh masyaAllah deh ingredients aman juga, cuma yaa ini lebih ke treatment yang seminggu 3 kali aja udah cukup jangan setiap hari, btw aku ga repurchase krn aku anaknya males bgt yg harus campurin ini ke air d ... "
larastika16, 19 - 24,"Oily, Medium, Warm",larastika16 recommends this product!,1 week - 1 month,Shopee,L'Indka,Acne Series Face Wash ,5,29,"Ya ampun dari sekian banyak facial wash ini adalah kecintaan aku, packaging simpel, teksturnya gel bening daan pas dipakai ga banyak busanya jadi ga bikin kering kulit aku, berkat satu rangkaian ini juga jerawatku berkurang"
lina842, 19 - 24,"Combination, Medium Light, Warm",lina842 recommends this product!,6 months - 1 year,Alfamart,Viva Cosmetics,Milk Cleanser,4,3539,salah satu milk cleanser yang wajib dicoba sih ini. sebelum adanya micellar water pasti selalu pake ini dan lumayan banget untuk menghapus make up tapi untuk menghapus yang waterproof lumayan agak susah yah mau gimana lagi harganya ada murce jadi nggak bisa berharap leb ... 
Asyivaniiklz, 19 - 24,"Combination, Light, Neutral",Asyivaniiklz recommends this product!,More than 1 year,FD Try and Review,Tokyo Night,Nail Polish Remover Pink,4.2,352,"setiap kali gw mau pke kutek dan di hapus gak jauh"" produknya yg satu ini gak ribet nyarinya harganya murah bgt bagus baanget dan yg pasti kutek langsung ilang tanpaa sisa ,,, gak nyesel gw selalu pakai produk ini pokonya terbaik"
